Kentik_ID,Status,Target_Network,Protocol,Peak_Bandwidth,Peak_Bandwidth_bps,Peak_PPS,Peak_PPS_raw,Attack_Start,Attack_End,Duration_min,Mitigation_UP,Mitigation_DOWN,ProtectedName,PolicyName,Source_Log_File
kentik_60219,Completed,67.149.219.86/32,UDP,134.7 Mbps,134733560,,0,2026-03-31 01:35:35,2026-03-31 02:16:51,41,WOW-RESIDENTAL-2 | WOW-ARIN,WOW-ARIN,WOW-RESIDENTAL-2 | WOW-ARIN,WOW-RESIDENTAL-2_1@007c9a-00004-0 | WOW-ARIN_1@007c9d-00002-0,alert.2026-03-30_2251.log
kentik_60220,Completed,24.214.116.34/32,UDP,0 bps,0,51.7K pps,51666,2026-03-31 02:24:06,2026-03-31 03:05:22,41,WOW-ARIN | WOW-RESIDENTAL-1,WOW-RESIDENTAL-1 | WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-03-30_2251.log
kentik_60221,Completed,23.28.131.1/32,UDP,0 bps,0,51.2K pps,51249,2026-03-31 03:36:37,2026-03-31 04:17:27,40,WOW-ARIN | WOW-RESIDENTAL-2,WOW-RESIDENTAL-2 | WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-04-06_1145.log
kentik_60222,Completed,24.192.60.181/32,UDP,0 bps,0,3.88M pps,3880561,2026-03-31 03:58:53,2026-03-31 04:49:59,51,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-04-06_1145.log
kentik_60223,Completed,24.192.60.181/32,UDP,1.76 Gbps,1755956768,,0,2026-03-31 04:00:12,2026-03-31 04:35:43,35,,,,,alert.2026-04-06_1145.log
kentik_60224,Completed,143.59.20.125/32,UDP,287.8 Mbps,287838072,,0,2026-03-31 05:05:14,2026-03-31 05:46:30,41,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-04-06_1145.log
kentik_60225,Completed,96.27.255.152/32,UDP,211.5 Mbps,211538352,,0,2026-03-31 09:58:46,2026-03-31 10:39:17,40,WOW-ARIN | WOW-RESIDENTAL-2,WOW-RESIDENTAL-2 | WOW-ARIN,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-04-06_1145.log
kentik_60226,Completed,64.233.197.147/32,UDP,0 bps,0,979.2K pps,979171,2026-03-31 10:13:01,2026-03-31 10:54:32,41,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-04-06_1145.log
kentik_60227,Completed,66.216.219.186/32,UDP,0 bps,0,63.9K pps,63917,2026-03-31 11:52:48,2026-03-31 12:33:03,40,WOW-ARIN | WOW-RESIDENTAL-2 | WOW-RESIDENTAL-1,WOW-RESIDENTAL-2 | WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-2 | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-04-06_1145.log
kentik_60228,Completed,216.186.149.22/32,UDP,0 bps,0,102.5K pps,102499,2026-03-31 14:39:19,2026-03-31 15:20:49,41,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN | WOW-RESIDENTAL-1,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-1_2@007c9e-00003-0,alert.2026-04-06_1145.log
kentik_60229,Completed,96.27.12.247/32,UDP,418.0 Mbps,418032592,,0,2026-03-31 15:03:34,2026-03-31 15:45:05,41,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN | WOW-RESIDENTAL-2,WOW-ARIN_1@007c9d-00002-0 | WOW-RESIDENTAL-2_1@007c9a-00004-0,alert.2026-04-06_1145.log
